URI (Extra in Zotero),Subject Term 1,Subject Term 2,Subject Term 3,Subject Term 4,Subject Term 5,Subject Term 6,Subject Term 7,Subject Term 8,Subject Term 9,Subject Term 10,Geographic Subject 1,Geographic Subject 2,Geographic Subject 3,Geographic Subject 4,Geographic Subject 5,Geographic Subject 6,Geographic Subject 7,Geographic Subject 8,Geographic Subject 9,Geographic Subject 10,Geographic Subject 11,Geographic Subject 12,Geographic Subject 13,Geographic Subject 14,Geographic Subject 15,Geographic Subject 16,Geographic Subject 17,Geographic Subject 18,Geographic Subject 19,Geographic Subject 20,Geographic Subject 21,Geographic Subject 22,Geographic Subject 23,Geographic Subject 24,Geographic Subject 25,Geographic Subject 26,Geographic Subject 27,Geographic Subject 28,Geographic Subject 29,Geographic Subject 30,Geographic Subject 31,Geographic Subject 32,Geographic Subject 33,Geographic Subject 34,Geographic Subject 35,Geographic Subject 36,Peddler Name 1,Peddler Name 2,Peddler Name 3,Peddler Name 4,Peddler Name 5,Peddler Name 6,Peddler Name 7,Peddler Name 8,Peddler Name 9,Peddler Name 10,Peddler Name 11,Peddler Name 12,Peddler Name 13,Peddler Name 14,Peddler Name 15,Peddler Name 16,Peddler Name 17,Peddler Name 18,Peddler Name 19,Peddler Name 20,,,,,,,,,,,,,,,,Subject Date Span
jp_cite_00164,Transportation,Wares,Bartering,Cultural Exchange,Subsequent Commercial Careers,,,,,,Germany,"Lima, Peru","El Callao, Peru","Iquitos, Peru","Yurimaguas, Peru","Belen, Brazil","Manuas, Brazil","Tangiers, Morocco","Alsace, France","Rabat, Morocco","Casablanca, Morocco","Tetouan, Morocco","Caballococha, Peru","Contamana, Peru","Chachapoyas, Peru","Rioja, Peru",Spain,England,France,"Lisbon, Portugal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1912
jp_cite_00165,Wares,,,,,,,,,,Lithuania,"Detroit, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jacob, Max",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1910
jp_cite_00166,Contextual Resource,,,,,,,,,,"Poltava, Ukraine",United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1937
jp_cite_00167,Contextual Resource,Transportation,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1865
jp_cite_00168,Contextual Resource,Cultural Exchange,,,,,,,,,"Souss-Massa-Draa, Morocco","Tafilalt, Morocco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1950
jp_cite_00169,Wares,Cultural Exchange,Restrictions on Itinerant Commerce,Religious Practice,,,,,,,"Souss-Massa-Draa, Morocco","Ziz, Morocco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1950
jp_cite_00170,Contextual Resource,Wares,,,,,,,,,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1914
jp_cite_00171,Cultural Exchange,Routes,Wares,Subsequent Commercial Careers,,,,,,,Russia,"Boston, Massachusetts","Adel, Georgia","Nashville, Georgia","Valdosta, Georgia","Atlanta, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edison, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1905
jp_cite_00172,Sponsor,Restrictions on Itinerant Commerce,Wares,Anti-Semitic Rhetoric,Subsequent Commercial Careers,Subsequent Non-commercial Careers,,,,,"Glasgow, Scotland",Germany,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birnbaum, Elias","Dunn, Isaac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879-1955
jp_cite_00173,Subsequent Commercial Careers,,,,,,,,,,Lithuania,"Bishopville, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Levenson, Frank","Gallun, Frank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1915
jp_cite_00174,Non-peddling Background,Subsequent Non-commercial Careers,,,,,,,,,Moldova,"Rhame, North Dakota","Minneapolis, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Braeman, Ezedor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913-1920
jp_cite_00175,Contextual Resource,Wares,,,,,,,,,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800
jp_cite_00176,Contextual Resource,Wares,Transportation,Restrictions on Itinerant Commerce,,,,,,,France,Germany,Poland,Spain,Turkey,Sweden,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400-1800
jp_cite_00177,Wares,Transportation,Subsequent Commercial Careers,Sponsor,,,,,,,Lithuania,"Cape Town, South Africa","Oudtshoorn, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1916
jp_cite_00178,Victims of Crime,Transportation,Subsequent Commercial Careers,Sponsor,Family,,,,,,"Suwalki, Poland","Central City, Colorado","South Park, Colorado","Denver, Colorado","Georgetown, Colorado","Empire, Colorado","Lawson, Colorado","Idaho Springs, Colorado","New York, New York","England, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,"Salomon, Hyman","Kuhn, Adam","Kuhn, Abraham","Goldstein, Isaac","Rittmaster, Alexander","Rachofsky, Abraham","Schwayder, Isaac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859-1869
jp_cite_00179,Restrictions on Itinerant Commerce,Anti-Semitic Rhetoric,,,,,,,,,Russia,Lithuania,Latvia,Bohemia,Poland,France,"Izmir, Turkey","Salonika, Greece",Balkans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920-1931
jp_cite_00180,Restrictions on Itinerant Commerce,Wares,Sponsor,Transportation,Subsequent Commercial Careers,,,,,,Poland,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936
jp_cite_00181,Transportation,Subsequent Commercial Careers,Restrictions on Itinerant Commerce,Cultural Exchange,Victims of Crime,Sponsor,,,,,"Regensburg, Germany","Philadelphia, Pennsylvania","Lancaster, Pennsylvania","Columbia, Pennsylvania",Prussia,"Westphalia, Germany","Baiersdork, Germany","Pittsburgh, Pennsylvania","Frankfurt am Main, Germany","Baltimore, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,"Eckstein, Joseph","Strauss, Lehman","Rosenstein, Levi","Eisestein, Joseph","Strauss, Joseph","Ostheim, Joseph","Geisenberger, Moses","Strauss, Herman","Zellerbach, Lazarus","Seligman, Joseph","Seligman, William","Seligman, James","Frank, William","Lieben (Levan), Henry","Rosenberger, Samson","Loeb, Hersh","Kohn, Henry","Weill, Abraham","Weill, Benjamin","Baum, William",,,,,,,,,,,,,,,,1836-1880
jp_cite_00182,Transportation,Subsequent Commercial Careers,Restrictions on Itinerant Commerce,Cultural Exchange,Victims of Crime,,,,,,"Philadelphia, Pennsylvania","Lancaster, Pennsylvania","Baltimore, Maryland","Frankfurt am Main, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodman, Alexander","Strauss, Lehman","Geisenberger, Moses","Strauss, Herman","Zellerbach, Lazarus","Lieben (Levan), Henry","Rosenberger, Samson","Loeb, Hersh","Kohn, Henry","Weill, Abraham","Weill, Benjamin",,,,,,,,,,,,,,,,,,,,,,,,,1836-1890
jp_cite_00183,Wares,Anti-Semitic Rhetoric,Restrictions on Itinerant Commerce,,,,,,,,"Hesse-Kassel, Germany",East Prussia,Friesland,"Zulz, Poland","Wroclaw, Poland","Wurtemberg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810-1860
jp_cite_00184,Contextual Resource,,,,,,,,,,Germany,Eastern Europe,"Galveston, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1910
jp_cite_00185,Contextual Resource,Wares,,,,,,,,,"England, United Kingdom",France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600-1800
jp_cite_00186,Transportation,Subsequent Commercial Careers,Subsequent Non-commercial Careers,Routes,Religious Practices,Wares,Peddling Background,Non-peddling Background,,,"Chicago, Illinois","Rochester, New York","Cincinnati, Ohio","Cleveland, Ohio","Columbus, Ohio","Detroit, Michigan","Milwaukee, Wisconsin","Peoria, Illionois","Lafayette, Indiana","Franconia, Germany","Bohemia, Czech Republic","New York, New York","Bavaria, Germany",Iowa,"Dirmstein, Germany","Alsace, France","Hesse, Germany","Baden, Germany","Fellheim, Germany",Pennsylvania,"Georgia, United States",California,"La Porte, Indiana",,,,,,,,,,,,,,"Kohn, Abraham","Furth, Leopold",Fuhrmann (Foreman) brothers,"Ullmann, Joseph","Waixell, Isaac","Morris, Nelson","Gerstley, Maximilian","Selz, Morris",,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1890
jp_cite_00187,Cultural Exchange,Religious Practice,Subsequent Non-commercial Careers,,,,,,,,"Franconia, Germany","New York, New York",Massachusetts,"Chicago, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohn, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1880
jp_cite_00188,Wares,Subsequent Commercial Careers,,,,,,,,,"Kaunas, Lithuania","Dublin, Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Briscoe, Abraham William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1914
jp_cite_00189,Wares,Subsequent Commercial Careers,,,,,,,,,"Gunnison, Utah","Provo, Utah","Price, Utah","Vernal, Utah","Wurttemberg, Germany",Tennessee,"Baltimore, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Polleia, Harry","Gordon, Harry","Weiss, Abe","Kiesel, Frederick","Goldsmith, Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1910
jp_cite_00190,Subsequent Commercial Careers,,,,,,,,,,Prussian Poland,"New York, New York","Jacksonville, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dzialynski, Philip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1860
jp_cite_00191,Wares,Anti-Semitic Rhetoric,Restrictions on Itinerant Commerce,,,,,,,,Eastern Europe,"Montreal, Quebec","Quebec, Quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1914
jp_cite_00192,Anti-Semitic Rhetoric,Restrictions on Itinerant Commerce,,,,,,,,,"Montreal, Quebec","Quebec, Quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867-1914
jp_cite_00193,Routes,Victims of Crime,Transportation,,,,,,,,"Venice, New York",Germany,"Syracuse, New York","Ledyard, New York","Auburn, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adler, Nathan","Adler, Charles","Adler, Benjamin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849
jp_cite_00194,Religious Practices,Cultural Exchange,Wares,Transportation,Wares,Restrictions on Itinerant Commerce,Anti-Semitic Rhetoric,,,,"Munf, Aargau, Switzerland","Metz, France","Basel, Switzerland","Zurich, Switzerland","Besancon, France","Saint-Etienne, France","Lyon, France","Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Felix, Jacques (Jacob Chaya)","Felix, Esther (Esther Chaya)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770-1831
jp_cite_00195,Non-peddling Background,Subsequent Commercial Careers,,,,,,,,,"Zielona Gora, Poland","Vienna, Austria","Budapest, Hungary","Buffalo, New York","Saint Louis, Missouri","Sacramento, California","Jackson, California","Lockeford, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bruml, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823-1901
jp_cite_00196,Contextual Resource,Sponsor,Bartering,Transportation,,,,,,,United States of America,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750-1860
jp_cite_00197,Literary or Artistic Depiction,Wares,Cultural Exchange,,,,,,,,Ireland,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902
jp_cite_00198,Sponsor,Wares,Non-peddling Background,Transportation,,,,,,,"Waldkirch, Germany","New York, New York","Wilkes-Barre, Pennsylvania","Paducah, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernheim, Solomon","Bernheim, Isaac Wolfe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800-1880
jp_cite_00199,Non-peddling Background,Religious Practice,Sponsor,Wares,Transportation,Subsequent Commercial Careers,,,,,Bavaria,"Le Havre, France","Philadephia, Pennsylvania","Lancaster County, Pennsylvania","Carroll County, Ohio","Franklin, Ohio","Pittsburgh, Pennsylvania","Titusville, Pennsylvania","Bradford, Pennsylvania",Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frank, William","Kaufman, Jacob","Kaufman, Isaac","Rosenthal, Morris","Bennett, Joseph","Goldsmith, Sam","Goldsmith, Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1915
jp_cite_00200,Contextual Resource,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780-1840
jp_cite_00201,Wares,Transportation,Cultural Exchange,Sponsor,,,,,,,"Balti, Moldova",Romania,"New York, New York","Neceedah, Wisconsin","Stevens Point, Wisconsin","Republic, Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenberg, Charles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1910
jp_cite_00202,Wares,Subsequent Non-commercial Careers,Transportation,Sponsor,Subsequent Commercial Careers,,,,,,"Abenheim, Germany","New York, New York","Chicago, Illinois","Uniontown, Ohio","East Liberty, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spiegel, Moses","Spiegel, Marcus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845-1860
jp_cite_00203,Wares,Routes,Cultural Exchange,Subsequent Commercial Careers,,,,,,,"Otterberg, Germany","Philadelphia, Pennsylvania","Oglethorpe, Germany","Talbotton, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Straus, Lazarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848-1854
jp_cite_00204,Contextual Resource,Wares,Subsequent Commercial Careers,Bartering,Routes,,,,,,Russia,"New York, New York","Chicago, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1905
jp_cite_00205,Wares,Bartering,Subsequent Commercial Careers,Anti-Semitic Rhetoric,Routes,Family,,,,,"Franconia, Germany","Birkenfeld, Germany","Black Forest, Germany","Ichenhausen, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811-1930
jp_cite_00206,Cultural Exchange,Transportation,Routes,Subsequent Commercial Careers,,,,,,,Poland,"New York, New York","Saint John's, Newfoundland","Cape Breton, Nova Scotia","Saint John, New Brunswick","Sydney, Nova Scotia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perlin, I.F.","Feder, Guss","Miller, Sam","Livys, Ernest","Neiman, M.A. ","Levin, Ben","Miller, Ben","Levine, I.","Brenner, Harry","Swersky, E.","Freed, A.","Swersky, M.","Kaplow, E.M.","Gordon, M.","Cohen, Arthur","Kaplow, Leo","Swersky, Yudel",,,,,,,,,,,,,,,,,,,1890-1930
jp_cite_00207,Cultural Exchange,Wares,Bartering,Sponsor,Transportation,Subsequent Commercial Careers,Family,,,,Poland,"Romeo, Michigan","Ann Arbor, Michigan","Port Huron, Michigan","Bay City, Michigan","Kalkaska County, Michigan","Kurland, Latvia",Lithuania,"Caro, Michigan",Germany,"Traverse City, Michigan",,"Manistique, Michigan","Suwalki, Poland",,,,,,,,,,,,,,,,,,,,,,,"Weil, Solomon","Glazier, Zundel","Glazier, Louis","Himelhoch, Wolf","Steinberg, Julius","Winkelman, Moses","Gartner, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1920
jp_cite_00208,Wares,Subsequent Commercial Careers,,,,,,,,,"Kaunas, Lithuania","Baltimore, Maryland","Washington County, Mississippi","Berkeley Springs, West Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caplan, Nathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848-1890
jp_cite_00209,Wares,Cultural Exchange,,,,,,,,,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960-1965
jp_cite_00210,Sponsor,Transportation,Bartering,Wares,Subsequent Commercial Careers,,,,,,"Kapole, Belarus","Red Wing, Minnesota","Wabasha, Minnesota","Saint Paul, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1929
jp_cite_00211,Contextual Resource,,,,,,,,,,"Coro, Venezuela","Barcelona, Venezuela",Curacao,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1920
jp_cite_00212,Anti-Semitic Rhetoric,,,,,,,,,,"Nairobi, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903-1904
jp_cite_00213,Restrictions on Itinerant Commerce,Anti-Semitic Rhetoric,,,,,,,,,Sweden,Russia,Poland,Finland,Germany,Denmark,Austria-Hungary,"Galicia, Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1920
jp_cite_00214,Restrictions on Itinerant Commerce,,,,,,,,,,"Alsace, France","Lorraine, France",Eastern Europe,United States of America,Latin America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1918
jp_cite_00215,Restrictions on Itinerant Commerce,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916
jp_cite_00216,Subsequent Commercial Careers,Wares,,,,,,,,,"Krakow, Poland",Kansas,"Saint Louis, Missouri","Fort Smith, Arkansas","Aldingen, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tilles, Louis (Melech)","Wormser, Isaac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829-1875
jp_cite_00217,Transportation,Routes,Subsequent Commercial Careers,Family,Sponsor,Cultural Exchange,,,,,"Middletown, Ohio",Bavaria,"Cincinatti, Ohio","Trenton, Ohio",Russia,"Hamilton, Ohio","Suwalki, Poland",England,"Germantown, Ohio","Maud, Ohio","Lebanon, Ohio","Shakertown, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,"Goldman, Simon",Klein,"Wohl, Joe","Bruson, Chaim Israel","Rabinoviz, Nathan","Arnovitz, Ted","Schneider, Harry","Leshner, Nathan","Cohen, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,1830-1920
jp_cite_00218,Family,Sponsor,Wares,Routes,Transportation,Subsequent Commercial Careers,,,,,Russia,"Barnwell County, South Carolina","Charleston, South Carolina","Augusta, Georgia","Savannah, Georgia","Blackville, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blatt, Nathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1895
jp_cite_00219,Contextual Resource,,,,,,,,,,United States of America,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00220,Contextual Resource,,,,,,,,,,"Charleston, South Carolina","Corfu, Greece","Glasgow, Scotland","Cape Town, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800-1914
jp_cite_00221,Wares,,,,,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848-1855
jp_cite_00222,Sponsor,Contextual Resource,Transportation,Wares,,,,,,,"New York, New York","Philadelphia, Pennsylvania","Baltimore, Maryland","Chicago, Illinois","Cincinnati, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1869
jp_cite_00223,Contextual Resource,Restrictions on Itinerant Commerce,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800-1850
jp_cite_00224,Contextual Resource,Non-peddling Background,,,,,,,,,United States of America,Germany,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1950
jp_cite_00225,Subsequent Commercial Careers,Transportation,,,,,,,,,Poland,"Johnstown, Pennsylvania","Chicago, Illinois","Houston, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radoff, Harry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888-1948
jp_cite_00226,Family,Subsequent Commercial Careers,Cultural Exchange,,,,,,,,Germany,"Santa Fe, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zeckendorf, Aaron","Zeckendorf, Louis","Spiegelberg, Solomon Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856-1878
jp_cite_00227,Literary or Artistic Depiction,Contextual Resource,Anti-Semitic Rhetoric,,,,,,,,"Dublin, Ireland","Limerick, Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904-1920
jp_cite_00228,Subsequent Non-commercial Careers,,,,,,,,,,New York,Pennsylvania,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gratz, Louis A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1865
jp_cite_00229,Wares,Transportation,,,,,,,,,"Amador, Minnesota","Little Falls, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peinstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1930
jp_cite_00230,Transportation,Subsequent Commercial Careers,Cultural Exchange,,,,,,,,"Mol?tai, Lithuania","Tower, Minnesota","Sudan, Minnesota","Ely, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905-1920
jp_cite_00231,Wares,Bartering,Non-peddling Background,Subseqent Commercial Careers,,,,,,,Russia,"Isanti County, Minnesota","Cambridge, Minnesota","Mille Lacs County, Minnesota","Princeton, Minnesota","Olmstead County, Minnesota","Rochester, Minnesota","Morrison County, Minnesota","Saint Cloud, Minnesota","Little Falls, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lewis, Jack","Levin, Isaac","Kessler, Harry","Klugman, Samuel","Brown, Max","Lerner, Morris","Weinstein, Hyman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1925
jp_cite_00232,Non-peddling Background,,,,,,,,,,"Winnipeg, Manitoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rabinowitch, Nissel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882
jp_cite_00233,Cultural Exchange,Subsequent Commercial Careers,Wares,Transportation,Victims of Crime,Anti-Semitic Rhetoric,,,,,"Winnipeg, Manitoba","Saint Francis Xavier, Manitoba",Ukraine,"Alsace, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goldstein, Reuben","Freedman, Moses","Coblentz, Adolphe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877-1930
jp_cite_00234,Transportation,Subsequent Commercial Careers,Cultural Exchange,,,,,,,,Germany,"Winnipeg, Manitoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohn, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1905
jp_cite_00235,Victims of Crime,Bartering,,,,,,,,,"Prince of Wales' Fort, Canada","Berlin, Germany",England,"Alsace, France",Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jacobs, Ferdinande","Solomons, Ezekiel","Abraham, Solomon Chapman","Levy, Gershon","Lyon, Benjamin","Franks, Jacob","Kovitz, C.J.","Coblentz, Adolphe","Berkman, Isaac","Berkman, J.","Kleinber, Jacob","Harris, A.","Silverstone, J.","Goldbloom, J.",,,,,,,,,,,,,,,,,,,,,,1730-1890
jp_cite_00236,Bartering,Subsequent Commercial Careers,Transportation,,,,,,,,"Radom, Poland","Portland, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893-1920
jp_cite_00237,Wares,Subsequent Commercial Careers,Transportation,Cultural Exchange,,,,,,,"Alsace, France",Southern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865-1920
jp_cite_00238,Cultural Exchange,,,,,,,,,,Southern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865-1920
jp_cite_00239,Wares,Transportation,Cultural Exchange,Subsequent Commercial Careers,,,,,,,Southern United States,"Alsace, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865-1920
